"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R48D","0402","-733mil","-948.795mil","-733mil","-948.795mil","-733mil","-968.48mil","T","180.00","10"
"R48C","0402","-177mil","-948.795mil","-177mil","-948.795mil","-177mil","-968.48mil","T","180.00","10"
"R47D","0402","-659mil","-949.795mil","-659mil","-949.795mil","-659mil","-969.48mil","T","180.00","2k2"
"R47C","0402","-103mil","-949.795mil","-103mil","-949.795mil","-103mil","-969.48mil","T","180.00","2k2"
"Q6D","SC-75/SOT-416","-883mil","-967.394mil","-883mil","-967.394mil","-908.472mil","-947.709mil","T","0.00","MMBT3906"
"Q6C","SC-75/SOT-416","-327mil","-967.394mil","-327mil","-967.394mil","-352.472mil","-947.709mil","T","0.00","MMBT3906"
"Q5D","SC-75/SOT-416","-889mil","-881.394mil","-889mil","-881.394mil","-869.315mil","-855.921mil","T","270.00","MMBT3904"
"Q5C","SC-75/SOT-416","-333mil","-881.394mil","-333mil","-881.394mil","-313.315mil","-855.921mil","T","270.00","MMBT3904"
"Q4D","SC-75/SOT-416","-975mil","-967.394mil","-975mil","-967.394mil","-949.528mil","-987.079mil","T","180.00","MMBT3904"
"Q4C","SC-75/SOT-416","-419mil","-967.394mil","-419mil","-967.394mil","-393.528mil","-987.079mil","T","180.00","MMBT3904"
"Q3D","TO-252_DPAK","-694mil","-808.134mil","-694mil","-766.795mil","-694mil","-684.118mil","T","360.00","IPD90P03P4L"
"Q3C","TO-252_DPAK","-138mil","-808.134mil","-138mil","-766.795mil","-48.236mil","-932.149mil","T","360.00","IPD90P03P4L"
"D8D","SOT23-3","-925mil","-741.795mil","-925mil","-741.795mil","-962.402mil","-785.102mil","T","90.00","BAT750"
"D8C","SOT23-3","-369mil","-741.795mil","-369mil","-741.795mil","-406.402mil","-785.102mil","T","90.00","BAT750"
"C26D","0402C","-559mil","-950.795mil","-559mil","-950.795mil","-559mil","-970.48mil","T","180.00","100nF"
"C26C","0402C","-3mil","-950.795mil","-3mil","-950.795mil","-3mil","-970.48mil","T","180.00","100nF"
"RU3","0402","-1205mil","610mil","-1205mil","610mil","-1205mil","590.315mil","T","180.00","0R"
"R50B","0402","148.402mil","-879.394mil","148.402mil","-879.394mil","128.717mil","-879.394mil","T","90.00","100k"
"R50A","0402","702.402mil","-879.394mil","702.402mil","-879.394mil","682.717mil","-879.394mil","T","90.00","100k"
"R49B","0402","148.402mil","-842.394mil","148.402mil","-842.394mil","128.717mil","-842.394mil","T","90.00","10k"
"R49A","0402","702.402mil","-842.394mil","702.402mil","-842.394mil","682.717mil","-842.394mil","T","90.00","10k"
"R48B","0402","379mil","-948.795mil","379mil","-948.795mil","379mil","-968.48mil","T","180.00","10"
"R48A","0402","933mil","-948.795mil","933mil","-948.795mil","933mil","-968.48mil","T","180.00","10"
"R47B","0402","453mil","-949.795mil","453mil","-949.795mil","453mil","-969.48mil","T","180.00","2k2"
"R47A","0402","1007mil","-949.795mil","1007mil","-949.795mil","1007mil","-969.48mil","T","180.00","2k2"
"R20B","0402","-1435mil","166mil","-1435mil","166mil","-1435mil","185.685mil","T","360.00","10k"
"R20A","0402","-1810mil","165mil","-1810mil","165mil","-1810mil","184.685mil","T","360.00","10k"
"Q6B","SC-75/SOT-416","229mil","-967.394mil","229mil","-967.394mil","203.528mil","-947.709mil","T","0.00","MMBT3906"
"Q6A","SC-75/SOT-416","783mil","-967.394mil","783mil","-967.394mil","757.528mil","-947.709mil","T","0.00","MMBT3906"
"Q5B","SC-75/SOT-416","223mil","-881.394mil","223mil","-881.394mil","242.685mil","-855.921mil","T","270.00","MMBT3904"
"Q5A","SC-75/SOT-416","777mil","-881.394mil","777mil","-881.394mil","796.685mil","-855.921mil","T","270.00","MMBT3904"
"Q4B","SC-75/SOT-416","137mil","-967.394mil","137mil","-967.394mil","162.472mil","-987.079mil","T","180.00","MMBT3904"
"Q4A","SC-75/SOT-416","691mil","-967.394mil","691mil","-967.394mil","716.472mil","-987.079mil","T","180.00","MMBT3904"
"C7A","0402C","-1778mil","260mil","-1778mil","260mil","-1778mil","279.685mil","T","360.00","100nF"
"C7B","0402C","-1403mil","261mil","-1403mil","261mil","-1403mil","280.685mil","T","360.00","100nF"
"C12","0402C","-1775mil","-356mil","-1775mil","-356mil","-1775mil","-336.315mil","T","0.00","100nF"
"C13","0402C","-1263mil","-613mil","-1263mil","-613mil","-1263mil","-593.315mil","T","360.00","18pF"
"C14","0402C","-1125mil","-851mil","-1125mil","-851mil","-1105.315mil","-851mil","T","270.00","18pF"
"C18","0805C","1148mil","-279mil","1148mil","-279mil","1148mil","-239.63mil","T","0.00","10uF"
"C20","0402C","-1262mil","13mil","-1262mil","13mil","-1262mil","-6.685mil","T","180.00","100nF"
"C21","0402C","-1108mil","-909mil","-1108mil","-909mil","-1108mil","-928.685mil","T","180.00","100nF"
"C22","0402C","-1669mil","27mil","-1669mil","27mil","-1688.685mil","27mil","T","90.00","100nF"
